time	I(C1)	I(L1)	I(R1)
9.993928819342818e-01	2.077592e+00	-6.614100e-01	-1.416182e+00
1.002462078362853e+00	2.161825e+00	-6.629952e-01	-1.498830e+00
1.005531274791425e+00	2.245145e+00	-6.643186e-01	-1.580827e+00
1.008600471219996e+00	2.327553e+00	-6.653802e-01	-1.662173e+00
1.011669667648567e+00	2.409049e+00	-6.661800e-01	-1.742869e+00
1.014738864077139e+00	2.489632e+00	-6.667180e-01	-1.822914e+00
1.017808060505710e+00	2.569302e+00	-6.669942e-01	-1.902308e+00
1.020877256934282e+00	2.648061e+00	-6.670086e-01	-1.981052e+00
1.026457614077139e+00	2.788898e+00	-6.663530e-01	-2.122545e+00
1.032037971219996e+00	2.925806e+00	-6.648438e-01	-2.260962e+00
1.037618328362853e+00	3.058785e+00	-6.624811e-01	-2.396304e+00
1.043198685505710e+00	3.187835e+00	-6.592649e-01	-2.528570e+00
1.048779042648568e+00	3.312957e+00	-6.551952e-01	-2.657761e+00
1.054359399791425e+00	3.434149e+00	-6.502720e-01	-2.783877e+00
1.059939756934282e+00	3.551412e+00	-6.444953e-01	-2.906917e+00
1.070821453362853e+00	3.768309e+00	-6.306116e-01	-3.137697e+00
1.081703149791425e+00	3.965284e+00	-6.138871e-01	-3.351397e+00
1.092584846219996e+00	4.142336e+00	-5.943218e-01	-3.548014e+00
1.103466542648568e+00	4.299466e+00	-5.719155e-01	-3.727550e+00
1.114348239077139e+00	4.436673e+00	-5.466684e-01	-3.890004e+00
1.125229935505710e+00	4.553958e+00	-5.185805e-01	-4.035377e+00
1.136111631934282e+00	4.651320e+00	-4.876517e-01	-4.163668e+00
1.141412971219996e+00	4.690046e+00	-4.718016e-01	-4.218244e+00
1.146714310505710e+00	4.723438e+00	-4.554505e-01	-4.267987e+00
1.152015649791425e+00	4.751497e+00	-4.385985e-01	-4.312899e+00
1.157316989077139e+00	4.774223e+00	-4.212454e-01	-4.352978e+00
1.162618328362853e+00	4.791616e+00	-4.033914e-01	-4.388225e+00
1.167919667648568e+00	4.803676e+00	-3.850363e-01	-4.418639e+00
1.173221006934282e+00	4.810402e+00	-3.661803e-01	-4.444222e+00
1.176011185505710e+00	4.811748e+00	-3.561005e-01	-4.455648e+00
1.178801364077139e+00	4.811603e+00	-3.459132e-01	-4.465690e+00
