time	I(C1)**2	I(L1)**2	I(R1)**2
1.152015649791425e+00	2.257673e+01	1.923686e-01	1.860110e+01
1.157316989077139e+00	2.279321e+01	1.774477e-01	1.894842e+01
1.162618328362853e+00	2.295958e+01	1.627246e-01	1.925652e+01
1.167919667648568e+00	2.307530e+01	1.482530e-01	1.952437e+01
1.173221006934282e+00	2.313997e+01	1.340880e-01	1.975111e+01
1.176011185505710e+00	2.315292e+01	1.268076e-01	1.985280e+01
1.178801364077139e+00	2.315152e+01	1.196559e-01	1.994239e+01
1.181591542648568e+00	2.313578e+01	1.126396e-01	2.001980e+01
1.184381721219996e+00	2.310571e+01	1.057652e-01	2.008496e+01
1.187171899791425e+00	2.306133e+01	9.903945e-02	2.013780e+01
1.189962078362853e+00	2.300269e+01	9.246920e-02	2.017829e+01
1.192752256934282e+00	2.292985e+01	8.606128e-02	2.020637e+01
1.200843774791425e+00	2.263561e+01	6.839940e-02	2.021542e+01
1.208935292648568e+00	2.222972e+01	5.253085e-02	2.012101e+01
1.217026810505710e+00	2.171530e+01	3.855409e-02	1.992386e+01
1.225118328362853e+00	2.109628e+01	2.656911e-02	1.962551e+01
1.233209846219996e+00	2.037750e+01	1.667747e-02	1.922826e+01
1.241301364077139e+00	1.956466e+01	8.982259e-03	1.873523e+01
1.249392881934282e+00	1.866431e+01	3.588107e-03	1.815033e+01
1.263064756934282e+00	1.698774e+01	9.116663e-07	1.697987e+01
1.266971006934282e+00	1.647607e+01	2.544977e-04	1.660584e+01
1.270877256934282e+00	1.595336e+01	1.078081e-03	1.621673e+01
1.274783506934282e+00	1.542052e+01	2.468964e-03	1.581324e+01
1.278689756934282e+00	1.487851e+01	4.424453e-03	1.539608e+01
1.282596006934282e+00	1.432831e+01	6.941859e-03	1.496601e+01
1.286502256934282e+00	1.377094e+01	1.001850e-02	1.452382e+01
1.290408506934282e+00	1.320745e+01	1.365169e-02	1.407035e+01
1.300174131934282e+00	1.177136e+01	2.519474e-02	1.288573e+01
1.309939756934282e+00	1.034783e+01	3.987513e-02	1.167242e+01
1.319705381934282e+00	8.950819e+00	5.746454e-02	1.044265e+01
1.329471006934282e+00	7.595014e+00	7.773985e-02	9.209551e+00
1.339236631934282e+00	6.295807e+00	1.004831e-01	7.987041e+00
1.349002256934282e+00	5.069295e+00	1.254815e-01	6.789898e+00
1.358767881934282e+00	3.932290e+00	1.525275e-01	5.633729e+00
1.366580381934282e+00	3.108731e+00	1.750846e-01	4.759337e+00
1.374392881934282e+00	2.372785e+00	1.981812e-01	3.942450e+00
1.382205381934282e+00	1.728374e+00	2.216346e-01	3.187857e+00
1.390017881934282e+00	1.179469e+00	2.452697e-01	2.500449e+00
1.397830381934282e+00	7.300973e-01	2.689194e-01	1.885216e+00
1.405642881934282e+00	3.843342e-01	2.924241e-01	1.347247e+00
1.413455381934282e+00	1.463082e-01	3.156324e-01	8.917295e-01
1.417082614077139e+00	7.420223e-02	3.261294e-01	7.114556e-01
1.420709846219996e+00	2.633856e-02	3.364456e-01	5.510552e-01
1.424337078362853e+00	2.722208e-03	3.465648e-01	4.107174e-01
1.427964310505710e+00	3.358150e-03	3.564711e-01	2.906315e-01
1.431591542648568e+00	2.825136e-02	3.661494e-01	1.909877e-01
1.435218774791425e+00	7.740683e-02	3.755849e-01	1.119765e-01
1.438846006934282e+00	1.508295e-01	3.847635e-01	5.378933e-02
1.441357167648568e+00	2.157246e-01	3.909441e-01	2.585460e-02
1.443868328362853e+00	2.920286e-01	3.969765e-01	8.039645e-03
1.446379489077139e+00	3.796691e-01	4.028560e-01	3.436025e-04
1.448890649791425e+00	4.785740e-01	4.085784e-01	2.765602e-03
1.451401810505710e+00	5.886712e-01	4.141394e-01	1.530477e-02
1.453912971219996e+00	7.098889e-01	4.195349e-01	3.796025e-02
1.456424131934282e+00	8.421553e-01	4.247610e-01	7.073116e-02
1.462283506934282e+00	1.193733e+00	4.362748e-01	1.866844e-01
1.468142881934282e+00	1.601320e+00	4.467260e-01	3.564773e-01
1.474002256934282e+00	2.062802e+00	4.560717e-01	5.789919e-01
1.479861631934282e+00	2.576090e+00	4.642740e-01	8.531180e-01
1.485721006934282e+00	3.139119e+00	4.712998e-01	1.177753e+00
1.491580381934282e+00	3.749850e+00	4.771212e-01	1.551802e+00
1.497439756934282e+00	4.406267e+00	4.817151e-01	1.974177e+00
1.500229935505710e+00	4.732246e+00	4.834426e-01	2.190614e+00
1.503020114077139e+00	5.066605e+00	4.848772e-01	2.416722e+00
1.505810292648568e+00	5.409018e+00	4.860176e-01	2.652273e+00
1.508600471219996e+00	5.759160e+00	4.868626e-01	2.897041e+00
1.511390649791425e+00	6.116711e+00	4.874116e-01	3.150802e+00
1.514180828362853e+00	6.481352e+00	4.876640e-01	3.413332e+00
1.516971006934282e+00	6.852768e+00	4.876196e-01	3.684409e+00
1.522830381934282e+00	7.653789e+00	4.865434e-01	4.280850e+00
1.528689756934282e+00	8.474563e+00	4.841749e-01	4.907481e+00
1.534549131934282e+00	9.311442e+00	4.805234e-01	5.561426e+00
1.540408506934282e+00	1.016088e+01	4.756036e-01	6.239873e+00
1.546267881934282e+00	1.101945e+01	4.694353e-01	6.940074e+00
1.552127256934282e+00	1.188381e+01	4.620435e-01	7.659346e+00
1.557986631934282e+00	1.275074e+01	4.534585e-01	8.395070e+00
1.569147346219996e+00	1.439340e+01	4.337011e-01	9.830129e+00
